,subject,duration,standing_up,first_walk,first_turn,second_walk,second_turn,sitting_down,status
169,s18,14639.0,1951.0,4149.0,1707.0,3660.0,1707.0,1465.0,success
170,s18,11467.0,1464.0,4636.0,1220.0,1708.0,975.0,1464.0,success
171,s18,10248.0,1464.0,2440.0,1220.0,2684.0,975.0,1465.0,success
172,s18,12932.0,1953.0,3416.0,1220.0,3415.0,1220.0,1708.0,success
173,s18,11468.0,1464.0,3416.0,976.0,3172.0,1220.0,1220.0,success
174,s18,10979.0,1707.0,2197.0,1220.0,2928.0,1463.0,1464.0,success
175,s18,10980.0,733.0,3171.0,1220.0,2928.0,1708.0,1220.0,success
176,s18,12200.0,976.0,4636.0,1463.0,2685.0,976.0,1464.0,success
177,s19,13174.0,1707.0,3171.0,1708.0,3416.0,1464.0,1708.0,success
178,s19,11954.0,975.0,2928.0,1220.0,4391.0,732.0,1708.0,success
179,s19,13175.0,1708.0,3171.0,1220.0,3416.0,1708.0,1952.0,success
180,s19,11711.0,732.0,3172.0,1219.0,4148.0,975.0,1465.0,success
181,s19,11954.0,487.0,244.0,732.0,2684.0,6099.0,1708.0,success
182,s19,11223.0,488.0,3416.0,976.0,3415.0,1220.0,1708.0,success
183,s19,12687.0,976.0,3660.0,976.0,3415.0,1708.0,1952.0,success
184,s19,12443.0,976.0,2928.0,1464.0,3903.0,733.0,2439.0,success
185,s19,11955.0,976.0,2928.0,1219.0,3416.0,1464.0,1952.0,success
186,s19,12199.0,976.0,3171.0,1464.0,3416.0,1219.0,1953.0,success
187,s20,7563.0,488.0,976.0,732.0,1463.0,732.0,3172.0,success
188,s20,8051.0,488.0,2196.0,731.0,489.0,3659.0,488.0,success
189,s20,9271.0,488.0,732.0,732.0,731.0,5368.0,1220.0,success
190,s20,9027.0,976.0,488.0,732.0,732.0,5611.0,488.0,success
191,s20,,732.0,732.0,1464.0,731.0,732.0,4880.0,failure
192,s20,8783.0,1708.0,732.0,2195.0,1953.0,1463.0,732.0,success
193,s20,9759.0,1463.0,2196.0,732.0,1952.0,1708.0,1708.0,success
194,s20,9028.0,244.0,1220.0,732.0,1464.0,2927.0,2441.0,success
195,s20,8050.0,488.0,731.0,733.0,1219.0,1952.0,2927.0,success
196,s20,9027.0,487.0,3172.0,976.0,244.0,732.0,3416.0,success
197,s21,5367.0,731.0,2441.0,1463.0,976.0,,732.0,partial_success
198,s21,8295.0,976.0,2195.0,1220.0,1465.0,1463.0,976.0,success
199,s21,8296.0,489.0,2683.0,1952.0,976.0,1464.0,732.0,success
200,s21,,732.0,,,,,,failure
201,s21,,244.0,2927.0,1465.0,1464.0,,,failure
202,s21,8784.0,976.0,2196.0,1464.0,1464.0,1220.0,1464.0,success
203,s21,8783.0,732.0,2440.0,1708.0,1464.0,1464.0,975.0,success
204,s21,,732.0,2195.0,1464.0,1464.0,,,failure
205,s21,9271.0,732.0,2683.0,1220.0,1708.0,1952.0,976.0,success
206,s22,8783.0,732.0,2196.0,1463.0,1708.0,1220.0,1464.0,success
207,s22,8538.0,731.0,1708.0,1464.0,2439.0,976.0,1220.0,success
208,s22,7563.0,732.0,1708.0,1464.0,1464.0,976.0,1219.0,success
209,s22,7319.0,732.0,2196.0,1220.0,1220.0,1219.0,732.0,success
